registro,price_usd,address,beds,baths,half_baths,sqft,lat,long
2111-02c21-34,280000,"456 Camino Providencia Rio Rico, AZ 85648",3,3,NA,1445,31.453062,-111.02532
2111-02c21-35,375000,"784 E Skyline Drive Nogales, AZ 85621",3,2,NA,2198,31.354705,-110.913395
2111-02c21-36,265000,"1669 Calle Cabo Rio Rico, AZ 85648",3,2,NA,1558,31.545579,-111.00237
2111-02c21-37,265000,"1683 Calle Cabo Rio Rico, AZ 85648",3,2,NA,1591,31.547411,-111.003585
2111-02c21-38,265000,"1743 Circulo Agua Blanca Rio Rico, AZ 85648",3,2,NA,1550,31.554441,-111.006953
2111-02c21-39,599000,"129 Bridge Rd Tubac, AZ 85646",4,3,NA,4145,31.613157,-111.040791
2111-02c21-40,210000,"287 W Sage Street Nogales, AZ 85621",4,2,NA,2166,31.345665,-110.937331
2111-02c21-41,485000,"1105 Vista De Los Alamos Rio Rico, AZ 85648",4,3,NA,2534,31.471835,-111.002952
2111-02c21-42,260000,"1004 Camino Caralampi Rio Rico, AZ 85648",4,2,NA,1911,31.445279,-111.008902
2111-02c21-43,370000,"8 Calle Dorado Tubac, AZ 85640",2,2,1,1866,31.606359,-111.046564
2111-02c21-44,380000,"1304 Via Nuevo Laredo Rio Rico, AZ 85648",3,2,NA,2091,31.485471,-111.02561
2111-02c21-45,675000,"232 Bond Canyon Road Rio Rico, AZ 85648",3,3,NA,2696,31.594423,-110.908467
2111-02c21-46,240000,"279 W Pajarito Street Nogales, AZ 85621",3,2,NA,3676,31.342886,-110.938939
2111-02c21-47,225000,"245 Cuarzo Court Rio Rico, AZ 85648",3,2,NA,1650,31.431846,-110.984411
2111-02c21-48,435000,"1750 Linda Ct. Rio Rico, AZ 85648",4,3,NA,2689,31.555649,-111.005161
2111-02c21-49,659000,"2896 Highway 83 Elgin, AZ 85611",4,3,1,3018,31.672154,-110.62039
2111-02c21-50,265000,"1728 Camino Pacifico Rio Rico, AZ 85648",3,2,NA,1600,31.55237,-111.023246
2111-02c21-51,250000,"1395 San Blas Court Rio Rico, AZ 85648",3,2,NA,1223,31.498037,-111.037566
2111-02c21-52,279500,"166 Entrada Court Rio Rico, AZ 85648",4,3,NA,1789,31.434946,-110.946981
2111-02c21-53,160000,"1336 W Camino de la Paloma Nogales, AZ 85621",3,2,NA,1423,31.342413,-110.962226
2111-02c21-54,679000,"13201 E Singing Valley Road Sonoita, AZ 85637",3,2,1,2760,31.794464,-110.709248
2111-02c21-55,599000,"2825 N Cinco Millas Road Nogales, AZ 85621",4,4,2,5022,31.384023,-110.916783
2111-02c21-56,259900,"1713 Nieve Court Rio Rico, AZ 85648",3,2,NA,1525,31.552161,-111.012037
2111-02c21-57,425000,"4 Libres Ct Tubac, AZ 85646",2,2,NA,1572,31.622629,-111.049603
2111-02c21-58,239900,"508 Calle Toruno Rio Rico, AZ 85648",4,2,NA,1894,31.46928,-111.021045
2111-02c21-59,474000,"1135 Via San Francisco Rio Rico, AZ 85648",3,2,1,2664,31.470321,-110.934613
2111-02c21-60,425000,"203 Alfalfa Court Rio Rico, AZ 85648",3,2,NA,3220,31.433346,-110.979381
2111-02c21-61,400000,"316 Naugle Avenue Patagonia, AZ 85624",2,1,2,2939,31.540872,-110.753981
2111-02c21-62,489000,"32 Calle Cuba Rio Rico, AZ 85648",3,2,1,3304,31.575168,-111.032329
2111-02c21-63,250000,"903 Lombard Way Tubac, AZ 85646",1,2,1,1058,31.601554,-111.049336
2111-02c21-64,365000,"32 Circulo Diego Rivera Tubac, AZ 85646",2,2,NA,1742,31.608355,-111.046643
2111-02c21-65,424900,"85 Camino Mar Rio Rico, AZ 85648",4,3,NA,2606,31.541331,-111.008231
2111-02c21-66,285000,"390 Quail Ct Rio Rico, AZ 85648",3,2,NA,1783,31.475679,-110.977677
2111-02c21-67,259900,"1693 Dan Court Rio Rico, AZ 85648",3,2,NA,1525,31.549078,-111.004723
2111-02c21-68,675000,"32 Boyd Lane Sonoita, AZ 85637",3,4,NA,3857,31.658176,-110.642544
2111-02c21-69,259900,"42 Calcio Court Rio Rico, AZ 85648",3,2,NA,1525,31.544471,-111.020397
2111-02c21-70,173000,"1005 Camino Estrella Rio Rico, AZ 85648",3,2,NA,1203,31.449665,-110.930666
2111-02c21-71,399999,"2544 N Corinthian Garden Drive Nogales, AZ 85621",NA,NA,NA,2390,31.378226,-110.958724
2111-02c21-72,905000,"246 Bond Canyon Rd Tubac, AZ 85646",3,4,NA,4800,31.592942,-110.912644
2111-02c21-73,352500,"875 Manzanilla Way Rio Rico, AZ 85648",4,3,NA,2516,31.430952,-110.972112
2111-02c21-74,159999,"307 N Wayside Dr Drive Nogales, AZ 85621",NA,NA,NA,2020,31.337802,-110.934512
2111-02c21-75,585000,"4 Paver Court Tubac, AZ 85646",3,2,1,2463,31.621915,-111.050865
2111-02c21-76,233333,"2 Point Pleasant Elgin, AZ 85611",3,2,NA,1121,31.561802,-110.485709
